title,Production_Budget,id,runtime,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science_Fiction,TV_Movie,Thriller,War,Western,prod_company_1,prod_company_2,prod_company_3,tagline_wordcount,synopsis_wordcount,release_month,release_day,cast_1,cast_2,cast_3,cast_4,cast_5,casting,composer,director,producer,screenplay,keyword_1,keyword_2,keyword_3,target
Happily N'Ever After,47000000,5393,87.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nitrogen Studios Canada,Vanguard Films,Odyssey,9,41,9,14,George Carlin,Andy Dick,Sarah Michelle Gellar,Lisa Kaplan,Michael McShane,Ruth Lambert,,Paul Bolger,Charlie Woebcken,Robert Moreland,dwarves,cinderella,wolf,0
Solaris,47000000,2103,99.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,Lightstorm Entertainment,20th Century Fox,,9,18,11,27,George Clooney,Natascha McElhone,Viola Davis,Jeremy Davies,Ulrich Tukur,Debra Zane,Cliff Martinez,Steven Soderbergh,James Cameron,Steven Soderbergh,clone,loss of sense of reality,hallucination,0
Jonah Hex,47000000,20533,81.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Warner Bros. Pictures,,,3,66,6,18,Josh Brolin,John Malkovich,Megan Fox,Michael Fassbender,Will Arnett,Bernard Telsey,Marco Beltrami,Jimmy Hayward,Akiva Goldsman,Mark Neveldine,gunslinger,usa,dc comics,0
Silence,46500000,68730,161.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Waypoint Entertainment,Cappa Defina Productions,CatchPlay,5,21,12,22,Andrew Garfield,Adam Driver,Liam Neeson,Yosuke Kubozuka,Tadanobu Asano,Ellen Lewis,,Martin Scorsese,Martin Scorsese,Martin Scorsese,christianity,japan,missionary,0
Mr. Nobody,46500000,31011,156.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,Pan Européenne Production,Virtual Films,Wild Bunch,6,25,11,6,Jared Leto,Sarah Polley,Diane Kruger,Linh Đan Phạm,Rhys Ifans,,,Jaco Van Dormael,,,surrealism,,,0
America's Sweethearts,46000000,11467,102.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Columbia Pictures,Revolution Studios,Roth-Arnold Productions,15,38,7,17,Julia Roberts,Billy Crystal,Catherine Zeta-Jones,John Cusack,Hank Azaria,,James Newton Howard,Joe Roth,Billy Crystal,Billy Crystal,film business,film producer,wife husband relationship,1
Insomnia,46000000,320,118.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Alcon Entertainment,Witt/Thomas Productions,Section Eight,9,25,5,24,Al Pacino,Robin Williams,Hilary Swank,Maura Tierney,Martin Donovan,Marci Liroff,David Julyan,Christopher Nolan,Paul Junger Witt,Hillary Seitz,detective,confession,fbi,1
Prisoners,46000000,146233,153.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Madhouse Entertainment,Alcon Entertainment,8:38 Productions,3,39,9,18,Hugh Jackman,Jake Gyllenhaal,Paul Dano,Maria Bello,Melissa Leo,Kerry Barden,Jóhann Jóhannsson,Denis Villeneuve,Broderick Johnson,,pennsylvania,kidnapping,maze,1
Taken 2,45000000,82675,91.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,EuropaCorp,Grive Productions,M6 Films,10,25,9,27,Liam Neeson,Maggie Grace,Famke Janssen,Rade Šerbedžija,Luke Grimes,John Papsidera,Nathaniel Méchaly,Olivier Megaton,Luc Besson,Robert Mark Kamen,kidnapping,turkey,police chase,1
Scary Movie 3,45000000,4256,84.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brad Grey Pictures,Dimension Films,,5,34,10,24,Anna Faris,Pamela Anderson,Jenny McCarthy,Marny Eng,Charlie Sheen,John Papsidera,James L. Venable,David Zucker,Robert K. Weiss,Craig Mazin,horror spoof,,,1
